Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
64,David Montgomery,CHI,23,RB,15,14,68,54,79.40%,438,8.1,2,25,28,6.4,3.6,29.2,1
65,DJ Chark,JAX,24,WR,13,12,93,53,57.00%,706,13.3,5,37,73,7.6,4.1,54.3,0
66,Chase Edmonds,ARI,24,rb,16,2,67,53,79.10%,402,7.6,4,21,30,6,3.3,25.1,2
67,Will Fuller,HOU,26,WR,11,11,75,53,70.70%,879,16.6,8,38,77,11.7,4.8,79.9,0
68,Mike Gesicki,MIA,25,te,15,9,85,53,62.40%,703,13.3,6,36,70,8.3,3.5,46.9,0
69,Greg Ward,PHI,25,wr,16,10,79,53,67.10%,419,7.9,6,24,32,5.3,3.3,26.2,2
70,Ezekiel Elliott,DAL,25,RB,15,15,71,52,73.20%,338,6.5,2,20,19,4.8,3.5,22.5,6
71,Jerry Jeudy,DEN,21,WR,16,14,113,52,46.00%,856,16.5,3,39,92,7.6,3.3,53.5,2
72,Josh Reynolds,LAR,25,WR,16,13,81,52,64.20%,618,11.9,2,29,40,7.6,3.3,38.6,2
73,Robert Tonyan,GNB,26,te,16,8,59,52,88.10%,586,11.3,11,33,45,9.9,3.3,36.6,0
74,Julio Jones,ATL,31,wr,9,9,68,51,75.00%,771,15.1,3,36,44,11.3,5.7,85.7,0
75,Tim Patrick,DEN,27,WR,15,15,79,51,64.60%,742,14.5,6,33,61,9.4,3.4,49.5,0
76,Jimmy Graham,CHI,34,TE,16,15,76,50,65.80%,456,9.1,8,32,30,6,3.1,28.5,1
77,Darius Slayton,NYG,23,WR,16,15,96,50,52.10%,751,15,3,38,41,7.8,3.1,46.9,1
78,Kendrick Bourne,SFO,25,wr,15,5,74,49,66.20%,667,13.6,2,35,49,9,3.3,44.5,0
79,Anthony Miller,CHI,26,wr,16,6,76,49,64.50%,485,9.9,2,23,34,6.4,3.1,30.3,2
80,James Robinson,JAX,22,RB,14,14,60,49,81.70%,344,7,3,15,28,5.7,3.5,24.6,3
81,James White,NWE,28,,14,0,62,49,79.00%,375,7.7,1,20,34,6,3.5,26.8,1
82,Nelson Agholor,LVR,27,WR,16,13,82,48,58.50%,896,18.7,8,37,85,10.9,3,56,0
83,Christian Kirk,ARI,24,wr,14,10,79,48,60.80%,621,12.9,6,30,80,7.9,3.4,44.4,1
84,George Kittle,SFO,27,te,8,8,63,48,76.20%,634,13.2,2,32,44,10.1,6,79.3,0
85,Mike Williams,LAC,26,WR,15,11,85,48,56.50%,756,15.8,5,35,64,8.9,3.2,50.4,0
86,Giovani Bernard,CIN,29,rb,16,10,59,47,79.70%,355,7.6,3,15,42,6,2.9,22.2,1
87,Damiere Byrd,NWE,27,WR,16,14,77,47,61.00%,604,12.9,1,29,42,7.8,2.9,37.8,3
88,A.J. Green,CIN,32,WR,16,14,104,47,45.20%,523,11.1,2,34,33,5,2.9,32.7,0
89,Aaron Jones*,GNB,26,RB,14,14,63,47,74.60%,355,7.6,2,15,30,5.6,3.4,25.4,2
90,Danny Amendola,DET,35,wr,14,5,69,46,66.70%,602,13.1,0,30,50,8.7,3.3,43,0
91,Dallas Goedert,PHI,25,te,11,9,65,46,70.80%,524,11.4,3,28,41,8.1,4.2,47.6,0
92,Austin Hooper,CLE,26,TE,13,13,70,46,65.70%,435,9.5,4,27,36,6.2,3.5,33.5,0
93,D'Andre Swift,DET,21,rb,13,4,57,46,80.70%,357,7.8,2,15,26,6.3,3.5,27.5,3
94,Antonio Brown,TAM,32,wr,8,4,62,45,72.60%,483,10.7,4,27,46,7.8,5.6,60.4,0
95,Rob Gronkowski,TAM,31,TE,16,16,77,45,58.40%,623,13.8,7,29,48,8.1,2.8,38.9,1
96,Demarcus Robinson,KAN,26,wr,16,9,59,45,76.30%,466,10.4,3,26,28,7.9,2.8,29.1,2
97,Dalvin Cook*,MIN,25,RB,14,14,54,44,81.50%,361,8.2,1,17,50,6.7,3.1,25.8,5
98,Tyler Higbee,LAR,27,TE,15,15,60,44,73.30%,521,11.8,5,26,44,8.7,2.9,34.7,0
99,Zach Pascal,IND,26,WR,16,14,71,44,62.00%,629,14.3,5,29,42,8.9,2.8,39.3,0
100,Gerald Everett,LAR,26,te,16,7,62,41,66.10%,417,10.2,1,24,40,6.7,2.6,26.1,1
101,Myles Gaskin,MIA,23,rb,10,7,47,41,87.20%,388,9.5,2,12,59,8.3,4.1,38.8,2
102,Mecole Hardman,KAN,22,wr,16,8,62,41,66.10%,560,13.7,4,23,49,9,2.6,35,2
103,Jonnu Smith,TEN,25,TE,15,14,65,41,63.10%,448,10.9,8,25,63,6.9,2.7,29.9,0
104,Chris Conley,JAX,28,wr,15,4,63,40,63.50%,471,11.8,2,24,51,7.5,2.7,31.4,1
105,Michael Pittman Jr.,IND,23,wr,13,8,61,40,65.60%,503,12.6,1,22,45,8.2,3.1,38.7,0
106,Drew Sample,CIN,24,TE,16,13,53,40,75.50%,349,8.7,1,16,23,6.6,2.5,21.8,1
107,Michael Thomas,NOR,27,wr,7,5,55,40,72.70%,438,11,0,25,24,8,5.7,62.6,0
108,Anthony Firkser,TEN,25,te,16,1,53,39,73.60%,387,9.9,1,26,45,7.3,2.4,24.2,0
109,Randall Cobb,HOU,30,wr,10,2,48,38,79.20%,441,11.6,3,20,34,9.2,3.8,44.1,0
110,Travis Fulgham,PHI,25,wr,13,8,67,38,56.70%,539,14.2,4,26,42,8,2.9,41.5,0
111,Kareem Hunt,CLE,25,rb,16,5,51,38,74.50%,304,8,5,19,26,6,2.4,19,2
112,Devin Singletary,BUF,23,RB,16,16,50,38,76.00%,269,7.1,0,8,34,5.4,2.4,16.8,1
113,Jordan Akins,HOU,28,te,13,5,49,37,75.50%,403,10.9,1,20,26,8.2,2.8,31,0
114,Braxton Berrios,NYJ,25,wr,16,2,55,37,67.30%,394,10.6,3,19,43,7.2,2.3,24.6,0
115,Chris Carson,SEA,26,RB,12,12,46,37,80.40%,287,7.8,4,14,29,6.2,3.1,23.9,1
116,Jared Cook,NOR,33,te,15,5,60,37,61.70%,504,13.6,7,27,46,8.4,2.5,33.6,1
117,Rashard Higgins,CLE,26,wr,13,6,52,37,71.20%,599,16.2,4,26,43,11.5,2.8,46.1,3
